# ID_Station Moyenne Min Max
7005 101402.833333 99370.000000 102780.000000
7015 101687.250000 99720.000000 103030.000000
7020 102021.916667 99680.000000 103620.000000
7027 101504.166667 99430.000000 102960.000000
7037 100525.166667 98620.000000 101850.000000
7072 101386.000000 99850.000000 102560.000000
7110 101069.333333 98770.000000 102730.000000
7117 101506.750000 99160.000000 103150.000000
7130 101989.916667 100040.000000 103450.000000
7139 100709.000000 98870.000000 102020.000000
7149 101443.333333 99800.000000 102650.000000
7168 101226.166667 99830.000000 102290.000000
7181 98541.500000 97300.000000 99500.000000
7190 100917.333333 99700.000000 101880.000000
7207 101961.916667 100000.000000 103450.000000
7222 102242.500000 100520.000000 103580.000000
7240 101269.750000 99780.000000 102470.000000
7255 100726.583333 99400.000000 101780.000000
7280 100061.750000 98940.000000 100930.000000
7299 99518.666667 98440.000000 100360.000000
7314 102448.833333 100880.000000 103630.000000
7335 101259.500000 99880.000000 102370.000000
7434 97945.666667 96780.000000 98820.000000
7460 98873.000000 97790.000000 99790.000000
7471 93022.416667 92110.000000 93680.000000
7481 99973.416667 98950.000000 100670.000000
7510 102261.500000 100920.000000 103220.000000
7535 99723.083333 98580.000000 100470.000000
7558 94377.583333 93580.000000 94840.000000
7577 101994.083333 101330.000000 102480.000000
7591 92550.916667 92040.000000 92960.000000
7607 102177.250000 100850.000000 103040.000000
7621 98487.166667 97260.000000 99310.000000
7627 97912.500000 96720.000000 98700.000000
7630 101100.750000 99900.000000 101830.000000
7643 102734.750000 102050.000000 103220.000000
7650 102388.250000 101840.000000 102930.000000
7661 101077.416667 100590.000000 101670.000000
7690 102427.333333 101960.000000 103030.000000
7747 102278.916667 101360.000000 102780.000000
7761 102676.000000 102250.000000 103250.000000
7790 102612.083333 102170.000000 103130.000000
