ID OMM station;Date;Température (°C)
7020;2020-01-01T13:00:00+01:00;8.400000
7020;2020-01-02T13:00:00+01:00;10.600000
7020;2020-01-03T13:00:00+01:00;9.800000
7020;2020-01-04T13:00:00+01:00;10.300000
7020;2020-01-05T13:00:00+01:00;9.300000
7020;2020-01-06T13:00:00+01:00;7.400000
7020;2020-01-07T13:00:00+01:00;10.600000
7020;2020-01-08T13:00:00+01:00;11.300000
7020;2020-01-09T13:00:00+01:00;12.200000
7020;2020-01-10T13:00:00+01:00;9.200000
7020;2020-01-11T13:00:00+01:00;10.000000
7020;2020-01-12T13:00:00+01:00;11.400000
7020;2020-01-13T13:00:00+01:00;9.900000
7020;2020-01-14T13:00:00+01:00;12.700000
7020;2020-01-15T13:00:00+01:00;9.800000
7020;2020-01-01T16:00:00+01:00;8.500000
7020;2020-01-02T16:00:00+01:00;10.600000
7020;2020-01-03T16:00:00+01:00;9.500000
7020;2020-01-04T16:00:00+01:00;9.600000
7020;2020-01-05T16:00:00+01:00;8.700000
7020;2020-01-06T16:00:00+01:00;8.500000
7020;2020-01-07T16:00:00+01:00;11.400000
7020;2020-01-08T16:00:00+01:00;11.000000
7020;2020-01-09T16:00:00+01:00;11.600000
7020;2020-01-10T16:00:00+01:00;8.700000
7020;2020-01-11T16:00:00+01:00;10.600000
7020;2020-01-12T16:00:00+01:00;11.000000
7020;2020-01-13T16:00:00+01:00;11.100000
7020;2020-01-14T16:00:00+01:00;13.000000
7020;2020-01-15T16:00:00+01:00;10.800000
7020;2020-01-01T19:00:00+01:00;8.400000
7020;2020-01-02T19:00:00+01:00;10.800000
7020;2020-01-03T19:00:00+01:00;9.300000
7020;2020-01-04T19:00:00+01:00;9.400000
7020;2020-01-05T19:00:00+01:00;8.300000
7020;2020-01-06T19:00:00+01:00;11.200000
7020;2020-01-07T19:00:00+01:00;12.200000
7020;2020-01-08T19:00:00+01:00;11.200000
7020;2020-01-09T19:00:00+01:00;10.600000
7020;2020-01-10T19:00:00+01:00;8.800000
7020;2020-01-11T19:00:00+01:00;10.700000
