ID OMM station;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
7015;190;8.600000;50.570000,3.097500
7015;160;3.400000;50.570000,3.097500
7015;230;8.500000;50.570000,3.097500
7015;200;8.100000;50.570000,3.097500
7015;260;3.500000;50.570000,3.097500
7015;210;2.800000;50.570000,3.097500
7015;180;11.100000;50.570000,3.097500
7015;200;3.600000;50.570000,3.097500
7015;180;9.200000;50.570000,3.097500
7015;180;9.300000;50.570000,3.097500
7015;150;2.800000;50.570000,3.097500
7015;160;5.700000;50.570000,3.097500
7015;180;6.100000;50.570000,3.097500
7015;270;4.100000;50.570000,3.097500
7015;210;2.700000;50.570000,3.097500
7015;90;3.100000;50.570000,3.097500
7015;180;3.900000;50.570000,3.097500
7015;160;3.400000;50.570000,3.097500
7015;210;5.000000;50.570000,3.097500
7015;190;12.500000;50.570000,3.097500
7015;190;9.600000;50.570000,3.097500
7015;160;6.800000;50.570000,3.097500
7015;220;3.300000;50.570000,3.097500
7015;180;3.300000;50.570000,3.097500
7015;190;3.600000;50.570000,3.097500
7015;180;11.800000;50.570000,3.097500
7015;100;2.200000;50.570000,3.097500
7015;180;7.400000;50.570000,3.097500
7015;310;3.400000;50.570000,3.097500
7015;170;3.900000;50.570000,3.097500
7015;180;4.500000;50.570000,3.097500
7015;200;1.800000;50.570000,3.097500
7015;230;7.500000;50.570000,3.097500
7015;190;7.500000;50.570000,3.097500
7015;210;3.900000;50.570000,3.097500
7015;180;6.900000;50.570000,3.097500
7015;190;4.100000;50.570000,3.097500
7015;140;3.000000;50.570000,3.097500
7015;200;7.200000;50.570000,3.097500
7015;180;7.100000;50.570000,3.097500
7015;220;7.500000;50.570000,3.097500
7015;160;4.400000;50.570000,3.097500
7015;180;11.000000;50.570000,3.097500
7015;190;11.100000;50.570000,3.097500
7015;180;2.500000;50.570000,3.097500
7015;230;1.900000;50.570000,3.097500
7015;150;4.600000;50.570000,3.097500
7015;190;11.300000;50.570000,3.097500
7015;190;6.300000;50.570000,3.097500
7015;180;5.500000;50.570000,3.097500
7015;190;5.900000;50.570000,3.097500
7015;200;6.500000;50.570000,3.097500
7015;190;7.700000;50.570000,3.097500
7015;200;7.700000;50.570000,3.097500
7015;210;5.100000;50.570000,3.097500
7015;200;3.000000;50.570000,3.097500
