Date;Pression station
2020-01-01T01:00:00+01:00;102230
2020-01-01T01:00:00+01:00;101540
2020-01-01T01:00:00+01:00;101570
2020-01-01T01:00:00+01:00;101250
2020-01-01T01:00:00+01:00;103050
2020-01-01T01:00:00+01:00;101790
2020-01-01T01:00:00+01:00;101370
2020-01-01T01:00:00+01:00;102700
2020-01-01T01:00:00+01:00;100320
2020-01-01T01:00:00+01:00;102820
2020-01-01T01:00:00+01:00;101860
2020-01-01T01:00:00+01:00;99090
2020-01-01T01:00:00+01:00;102090
2020-01-01T01:00:00+01:00;102580
2020-01-01T01:00:00+01:00;102610
2020-01-01T01:00:00+01:00;102650
2020-01-01T01:00:00+01:00;98360
2020-01-01T01:00:00+01:00;100030
2020-01-01T01:00:00+01:00;101670
2020-01-01T01:00:00+01:00;102280
2020-01-01T01:00:00+01:00;102260
2020-01-01T01:00:00+01:00;102880
2020-01-01T01:00:00+01:00;102040
2020-01-01T01:00:00+01:00;98350
2020-01-01T01:00:00+01:00;99270
2020-01-01T01:00:00+01:00;93270
2020-01-01T01:00:00+01:00;92840
2020-01-01T01:00:00+01:00;101500
2020-01-01T01:00:00+01:00;102630
2020-01-01T01:00:00+01:00;100140
2020-01-01T01:00:00+01:00;103040
2020-01-01T01:00:00+01:00;102480
2020-01-01T01:00:00+01:00;102760
2020-01-01T01:00:00+01:00;101340
2020-01-01T01:00:00+01:00;101240
2020-01-01T01:00:00+01:00;98930
2020-01-01T01:00:00+01:00;100510
2020-01-01T01:00:00+01:00;102720
2020-01-01T01:00:00+01:00;102120
2020-01-01T01:00:00+01:00;94690
2020-01-01T01:00:00+01:00;102260
2020-01-01T01:00:00+01:00;102730
2020-01-01T04:00:00+01:00;98300
2020-01-01T04:00:00+01:00;102300
2020-01-01T04:00:00+01:00;100330
2020-01-01T04:00:00+01:00;102610
2020-01-01T04:00:00+01:00;100460
2020-01-01T04:00:00+01:00;94670
2020-01-01T04:00:00+01:00;101190
2020-01-01T04:00:00+01:00;93290
2020-01-01T04:00:00+01:00;100080
2020-01-01T04:00:00+01:00;101250
2020-01-01T04:00:00+01:00;102580
2020-01-01T04:00:00+01:00;102350
2020-01-01T04:00:00+01:00;102570
2020-01-01T04:00:00+01:00;102700
2020-01-01T04:00:00+01:00;102700
2020-01-01T04:00:00+01:00;92770
2020-01-01T04:00:00+01:00;102010
2020-01-01T04:00:00+01:00;99030
2020-01-01T04:00:00+01:00;101170
2020-01-01T04:00:00+01:00;103040
2020-01-01T04:00:00+01:00;102050
2020-01-01T04:00:00+01:00;99960
2020-01-01T04:00:00+01:00;98340
2020-01-01T04:00:00+01:00;101630
2020-01-01T04:00:00+01:00;102850
2020-01-01T04:00:00+01:00;102190
2020-01-01T04:00:00+01:00;101760
2020-01-01T04:00:00+01:00;102300
2020-01-01T04:00:00+01:00;102710
2020-01-01T04:00:00+01:00;98860
2020-01-01T04:00:00+01:00;102750
2020-01-01T04:00:00+01:00;101530
2020-01-01T04:00:00+01:00;102530
2020-01-01T04:00:00+01:00;99240
2020-01-01T04:00:00+01:00;101370
2020-01-01T04:00:00+01:00;103030
2020-01-01T04:00:00+01:00;102110
2020-01-01T04:00:00+01:00;101710
2020-01-01T04:00:00+01:00;102040
2020-01-01T04:00:00+01:00;102520
2020-01-01T04:00:00+01:00;101450
2020-01-01T04:00:00+01:00;101510
2020-01-01T07:00:00+01:00;101190
2020-01-01T07:00:00+01:00;101610
2020-01-01T07:00:00+01:00;101480
2020-01-01T07:00:00+01:00;102880
2020-01-01T07:00:00+01:00;99010
2020-01-01T07:00:00+01:00;100110
2020-01-01T07:00:00+01:00;102050
2020-01-01T07:00:00+01:00;101770
2020-01-01T07:00:00+01:00;103080
2020-01-01T07:00:00+01:00;98910
2020-01-01T07:00:00+01:00;102300
2020-01-01T07:00:00+01:00;100490
2020-01-01T07:00:00+01:00;102650
2020-01-01T07:00:00+01:00;102120
2020-01-01T07:00:00+01:00;98330
2020-01-01T07:00:00+01:00;102530
2020-01-01T07:00:00+01:00;99230
2020-01-01T07:00:00+01:00;102710
2020-01-01T07:00:00+01:00;102690
2020-01-01T07:00:00+01:00;99960
2020-01-01T07:00:00+01:00;92810
2020-01-01T07:00:00+01:00;102560
2020-01-01T07:00:00+01:00;102330
2020-01-01T07:00:00+01:00;102540
2020-01-01T07:00:00+01:00;101660
2020-01-01T07:00:00+01:00;103000
2020-01-01T07:00:00+01:00;94680
2020-01-01T07:00:00+01:00;101390
2020-01-01T07:00:00+01:00;98310
2020-01-01T07:00:00+01:00;102010
2020-01-01T07:00:00+01:00;102020
2020-01-01T07:00:00+01:00;102310
2020-01-01T07:00:00+01:00;93270
2020-01-01T07:00:00+01:00;101160
2020-01-01T07:00:00+01:00;100350
2020-01-01T07:00:00+01:00;101550
2020-01-01T07:00:00+01:00;101480
2020-01-01T07:00:00+01:00;102770
2020-01-01T07:00:00+01:00;102610
2020-01-01T07:00:00+01:00;101160
2020-01-01T07:00:00+01:00;102060
2020-01-01T07:00:00+01:00;102710
2020-01-01T10:00:00+01:00;103190
2020-01-01T10:00:00+01:00;102240
2020-01-01T10:00:00+01:00;102140
2020-01-01T10:00:00+01:00;102120
2020-01-01T10:00:00+01:00;100400
2020-01-01T10:00:00+01:00;101550
2020-01-01T10:00:00+01:00;102610
2020-01-01T10:00:00+01:00;93350
2020-01-01T10:00:00+01:00;102750
2020-01-01T10:00:00+01:00;102980
2020-01-01T10:00:00+01:00;92910
2020-01-01T10:00:00+01:00;102130
2020-01-01T10:00:00+01:00;102840
2020-01-01T10:00:00+01:00;103130
2020-01-01T10:00:00+01:00;99120
2020-01-01T10:00:00+01:00;98410
2020-01-01T10:00:00+01:00;100220
2020-01-01T10:00:00+01:00;102630
2020-01-01T10:00:00+01:00;99350
2020-01-01T10:00:00+01:00;98430
2020-01-01T10:00:00+01:00;102840
2020-01-01T10:00:00+01:00;102420
2020-01-01T10:00:00+01:00;102460
2020-01-01T10:00:00+01:00;102850
2020-01-01T10:00:00+01:00;102130
2020-01-01T10:00:00+01:00;100030
2020-01-01T10:00:00+01:00;101580
2020-01-01T10:00:00+01:00;101230
2020-01-01T10:00:00+01:00;101700
2020-01-01T10:00:00+01:00;101240
2020-01-01T10:00:00+01:00;100600
2020-01-01T10:00:00+01:00;99000
2020-01-01T10:00:00+01:00;102570
2020-01-01T10:00:00+01:00;101680
2020-01-01T10:00:00+01:00;102740
2020-01-01T10:00:00+01:00;102710
2020-01-01T10:00:00+01:00;101880
2020-01-01T10:00:00+01:00;94760
2020-01-01T10:00:00+01:00;101520
2020-01-01T10:00:00+01:00;102390
2020-01-01T10:00:00+01:00;101680
2020-01-01T10:00:00+01:00;101220
2020-01-01T13:00:00+01:00;102100
2020-01-01T13:00:00+01:00;102340
2020-01-01T13:00:00+01:00;101470
2020-01-01T13:00:00+01:00;102610
2020-01-01T13:00:00+01:00;102530
2020-01-01T13:00:00+01:00;101540
2020-01-01T13:00:00+01:00;102760
2020-01-01T13:00:00+01:00;98300
2020-01-01T13:00:00+01:00;103000
2020-01-01T13:00:00+01:00;102140
2020-01-01T13:00:00+01:00;93280
2020-01-01T13:00:00+01:00;99940
2020-01-01T13:00:00+01:00;101630
2020-01-01T13:00:00+01:00;101460
2020-01-01T13:00:00+01:00;102790
2020-01-01T13:00:00+01:00;102620
2020-01-01T13:00:00+01:00;99250
2020-01-01T13:00:00+01:00;102900
2020-01-01T13:00:00+01:00;101670
2020-01-01T13:00:00+01:00;102190
2020-01-01T13:00:00+01:00;99060
2020-01-01T13:00:00+01:00;102550
2020-01-01T13:00:00+01:00;102440
2020-01-01T13:00:00+01:00;102770
2020-01-01T13:00:00+01:00;101810
2020-01-01T13:00:00+01:00;101150
2020-01-01T13:00:00+01:00;102380
2020-01-01T13:00:00+01:00;103090
2020-01-01T13:00:00+01:00;101170
2020-01-01T13:00:00+01:00;101170
2020-01-01T13:00:00+01:00;100540
2020-01-01T13:00:00+01:00;100140
2020-01-01T13:00:00+01:00;94690
2020-01-01T13:00:00+01:00;92830
2020-01-01T13:00:00+01:00;102770
2020-01-01T13:00:00+01:00;102030
2020-01-01T13:00:00+01:00;98330
2020-01-01T13:00:00+01:00;100400
2020-01-01T13:00:00+01:00;98840
2020-01-01T13:00:00+01:00;102620
2020-01-01T13:00:00+01:00;102080
2020-01-01T13:00:00+01:00;101660
2020-01-01T16:00:00+01:00;101570
2020-01-01T16:00:00+01:00;101390
2020-01-01T16:00:00+01:00;102100
2020-01-01T16:00:00+01:00;99010
2020-01-01T16:00:00+01:00;102540
2020-01-01T16:00:00+01:00;101050
2020-01-01T16:00:00+01:00;102040
2020-01-01T16:00:00+01:00;101630
2020-01-01T16:00:00+01:00;101070
2020-01-01T16:00:00+01:00;98220
2020-01-01T16:00:00+01:00;102020
2020-01-01T16:00:00+01:00;102360
2020-01-01T16:00:00+01:00;100340
2020-01-01T16:00:00+01:00;98250
2020-01-01T16:00:00+01:00;102720
2020-01-01T16:00:00+01:00;102510
2020-01-01T16:00:00+01:00;102470
2020-01-01T16:00:00+01:00;99160
2020-01-01T16:00:00+01:00;102860
2020-01-01T16:00:00+01:00;101720
2020-01-01T16:00:00+01:00;100500
2020-01-01T16:00:00+01:00;101520
2020-01-01T16:00:00+01:00;101090
2020-01-01T16:00:00+01:00;92720
2020-01-01T16:00:00+01:00;102430
2020-01-01T16:00:00+01:00;102700
2020-01-01T16:00:00+01:00;94640
2020-01-01T16:00:00+01:00;103020
2020-01-01T16:00:00+01:00;101930
2020-01-01T16:00:00+01:00;100060
2020-01-01T16:00:00+01:00;98750
2020-01-01T16:00:00+01:00;102590
2020-01-01T16:00:00+01:00;102270
2020-01-01T16:00:00+01:00;101400
2020-01-01T16:00:00+01:00;102670
2020-01-01T16:00:00+01:00;102080
2020-01-01T16:00:00+01:00;101450
2020-01-01T16:00:00+01:00;102700
2020-01-01T16:00:00+01:00;93220
2020-01-01T16:00:00+01:00;99910
2020-01-01T16:00:00+01:00;102970
2020-01-01T16:00:00+01:00;102360
2020-01-01T19:00:00+01:00;94640
2020-01-01T19:00:00+01:00;102460
2020-01-01T19:00:00+01:00;102600
2020-01-01T19:00:00+01:00;100390
2020-01-01T19:00:00+01:00;102050
2020-01-01T19:00:00+01:00;101090
2020-01-01T19:00:00+01:00;102310
2020-01-01T19:00:00+01:00;102030
2020-01-01T19:00:00+01:00;102420
2020-01-01T19:00:00+01:00;102570
2020-01-01T19:00:00+01:00;101560
2020-01-01T19:00:00+01:00;101570
