ID OMM station;Température (°C)
7005;9.900000
7005;6.400000
7005;6.000000
7005;6.000000
7005;-0.100000
7005;1.600000
7005;6.900000
7005;9.300000
7005;6.600000
7005;7.200000
7005;5.000000
7005;3.300000
7005;10.600000
7005;6.600000
7005;11.800000
7005;8.800000
7005;12.200000
7005;11.000000
7005;7.200000
7005;7.200000
7005;7.700000
7005;10.200000
7005;5.400000
7005;7.100000
7005;6.200000
7005;8.500000
7005;7.100000
7005;11.100000
7005;12.300000
7005;12.300000
7005;10.700000
7005;-0.600000
7005;6.000000
7005;3.200000
7005;7.200000
7005;5.000000
7005;3.400000
7005;13.400000
7005;12.000000
7005;3.200000
7005;7.700000
7005;6.100000
7005;8.400000
7005;10.300000
7005;12.000000
7005;7.700000
7005;9.700000
7005;12.200000
7005;6.100000
7005;7.600000
7005;12.600000
7005;9.600000
7005;6.800000
7005;3.400000
7005;9.100000
7005;6.200000
7005;6.900000
7005;8.000000
7005;7.900000
7005;8.200000
7005;6.200000
7005;7.400000
7005;-0.100000
7005;3.000000
7005;6.500000
7005;2.200000
7005;8.500000
7005;12.800000
7005;9.100000
7005;5.300000
7005;11.800000
7005;11.600000
7005;0.600000
7005;2.900000
7005;6.200000
7005;12.600000
7005;3.700000
7005;11.300000
7005;5.700000
7005;10.100000
7005;8.400000
7005;12.200000
7005;6.600000
7005;5.100000
7005;7.800000
7005;4.200000
7005;10.800000
7005;10.300000
7005;10.700000
7005;11.100000
7005;13.200000
7005;4.900000
7005;9.000000
7005;10.800000
7005;8.300000
7005;11.600000
7005;6.100000
7005;9.500000
7005;10.700000
7005;7.900000
7005;6.000000
7005;8.700000
7005;9.800000
7005;8.900000
7005;9.500000
7005;7.700000
7005;5.900000
7005;9.100000
7005;10.800000
7005;11.900000
7005;7.800000
7005;3.100000
7005;6.600000
7005;7.500000
7005;6.200000
7005;6.200000
7005;8.300000
7005;1.200000
7005;11.400000
7005;6.600000
7015;7.300000
7015;6.700000
7015;8.400000
7015;7.100000
7015;12.800000
7015;5.700000
7015;6.000000
7015;1.800000
7015;9.800000
7015;8.400000
7015;11.900000
7015;6.900000
7015;6.900000
7015;9.800000
7015;2.400000
7015;7.800000
7015;5.600000
7015;9.400000
7015;2.200000
7015;6.200000
7015;6.600000
7015;8.300000
7015;9.500000
7015;11.500000
7015;2.800000
7015;5.400000
7015;4.600000
7015;5.700000
7015;2.900000
7015;2.900000
7015;9.100000
7015;1.700000
7015;11.100000
7015;12.000000
7015;10.300000
7015;11.700000
7015;11.400000
7015;12.100000
7015;2.000000
7015;10.900000
7015;8.600000
7015;1.900000
7015;7.500000
7015;9.400000
7015;11.600000
7015;12.000000
7015;9.400000
7015;4.700000
7015;6.400000
7015;8.200000
7015;7.700000
7015;5.600000
7015;1.500000
7015;4.900000
7015;1.800000
7015;5.400000
7015;10.900000
7015;10.400000
7015;8.800000
7015;8.900000
7015;8.800000
7015;5.900000
7015;9.500000
7015;0.600000
7015;8.700000
7015;7.400000
7015;4.200000
7015;4.400000
7015;11.200000
7015;10.000000
7015;6.900000
7015;5.000000
7015;5.600000
7015;5.600000
7015;2.300000
7015;7.700000
7015;8.000000
7015;10.000000
7015;1.400000
7015;10.000000
7015;10.800000
7015;6.100000
7015;3.600000
7015;0.700000
7015;11.400000
7015;4.600000
7015;7.800000
7015;10.800000
7015;9.100000
7015;6.200000
7015;6.600000
7015;11.800000
7015;6.300000
7015;2.900000
7015;6.300000
7015;5.900000
7015;7.100000
7015;9.300000
7015;6.500000
7015;5.900000
7015;4.900000
7015;5.100000
7015;6.400000
7015;12.500000
7015;11.200000
7015;7.000000
7015;5.100000
7015;10.400000
7015;8.900000
7015;7.200000
7015;6.700000
7015;5.900000
7015;6.900000
7015;6.000000
7015;2.100000
7015;7.900000
7015;7.000000
7015;9.300000
7015;4.700000
7015;11.700000
7020;11.700000
7020;9.900000
7020;10.400000
7020;10.100000
7020;11.100000
7020;9.600000
7020;10.300000
7020;10.200000
7020;11.000000
7020;10.600000
7020;9.300000
7020;10.600000
7020;10.800000
7020;9.800000
7020;7.300000
7020;12.700000
7020;10.300000
7020;10.200000
7020;9.300000
7020;9.600000
7020;10.600000
7020;9.400000
7020;11.200000
7020;11.600000
7020;8.900000
7020;0.000000
7020;8.600000
7020;11.500000
7020;8.700000
7020;12.800000
7020;12.200000
7020;11.900000
7020;8.700000
7020;9.500000
7020;10.100000
7020;11.600000
7020;11.400000
7020;10.800000
7020;11.200000
7020;9.100000
7020;9.400000
7020;9.700000
7020;8.700000
7020;10.600000
7020;11.300000
7020;6.900000
7020;8.000000
7020;9.800000
7020;10.000000
7020;9.900000
7020;9.500000
7020;8.300000
7020;8.100000
7020;9.200000
7020;11.800000
7020;10.600000
7020;11.800000
7020;9.200000
7020;8.700000
7020;11.400000
7020;9.000000
7020;7.400000
7020;9.100000
7020;12.100000
7020;12.200000
7020;6.700000
7020;10.900000
7020;7.400000
7020;7.000000
7020;10.800000
7020;12.000000
7020;9.300000
7020;10.700000
7020;12.600000
7020;12.600000
7020;9.200000
7020;9.400000
7020;8.500000
7020;8.100000
7020;10.700000
7020;8.400000
7020;10.700000
7020;7.400000
7020;8.500000
7020;9.700000
7020;11.000000
7020;11.000000
7020;8.800000
7020;11.000000
7020;11.200000
7020;10.600000
7020;9.000000
7020;10.400000
7020;8.800000
7020;9.200000
7020;10.800000
7020;11.200000
7020;10.800000
7020;7.400000
7020;11.300000
7020;10.600000
7020;10.000000
7020;9.500000
7020;8.300000
7020;11.300000
7020;8.500000
7020;11.100000
7020;7.000000
7020;5.600000
7020;10.300000
7020;10.800000
7020;0.000000
7020;10.700000
7020;9.400000
7020;9.900000
7020;11.600000
7020;9.400000
7020;8.400000
7020;8.800000
7020;13.000000
7027;7.900000
7027;12.800000
7027;4.700000
7027;2.600000
7027;5.100000
7027;6.100000
7027;7.000000
7027;6.500000
7027;11.300000
7027;11.500000
7027;12.300000
7027;8.700000
7027;6.400000
7027;9.100000
7027;5.500000
7027;10.000000
7027;4.000000
7027;2.900000
7027;6.600000
7027;6.200000
7027;7.800000
7027;12.600000
7027;3.100000
7027;-0.200000
7027;12.400000
7027;11.100000
7027;9.600000
7027;7.300000
7027;9.900000
7027;13.200000
7027;7.900000
7027;10.000000
7027;7.300000
7027;3.900000
7027;12.600000
7027;13.900000
7027;12.800000
7027;9.900000
7027;6.500000
7027;7.000000
7027;12.500000
7027;8.600000
7027;8.700000
7027;4.800000
7027;10.700000
7027;11.600000
7027;6.200000
7027;10.100000
7027;12.300000
7027;8.200000
7027;6.900000
7027;12.200000
7027;8.500000
7027;12.500000
7027;6.600000
7027;8.400000
7027;4.400000
7027;8.600000
7027;9.400000
7027;6.900000
7027;13.300000
7027;4.000000
7027;6.000000
7027;5.900000
7027;13.200000
7027;9.000000
7027;2.900000
7027;10.100000
7027;7.900000
7027;4.300000
7027;11.800000
7027;4.500000
7027;6.900000
7027;10.700000
7027;4.400000
7027;12.300000
7027;7.800000
7027;6.000000
7027;5.700000
7027;10.700000
7027;10.200000
7027;10.400000
7027;7.900000
7027;12.500000
7027;5.800000
7027;11.900000
7027;7.100000
7027;7.100000
7027;9.400000
7027;12.800000
7027;6.100000
7027;6.800000
7027;11.100000
7027;7.200000
7027;5.800000
7027;9.800000
7027;9.700000
7027;2.500000
7027;2.200000
7027;9.000000
7027;6.100000
7027;10.300000
7027;10.000000
7027;12.600000
7027;10.500000
7027;11.700000
7027;8.200000
7027;12.700000
7027;6.500000
7027;1.700000
7027;8.600000
7027;4.100000
7027;12.900000
7027;3.700000
7027;8.000000
7027;8.400000
7027;12.600000
7027;12.600000
7027;7.800000
7027;6.900000
7037;11.600000
7037;8.900000
7037;9.500000
7037;5.900000
7037;5.700000
7037;12.200000
7037;-0.900000
7037;4.400000
7037;6.000000
7037;10.400000
7037;11.800000
7037;11.900000
7037;10.800000
7037;6.100000
7037;6.800000
7037;6.900000
7037;10.000000
7037;9.700000
7037;2.100000
7037;6.200000
7037;2.800000
7037;3.400000
7037;4.000000
7037;9.800000
7037;9.800000
7037;1.100000
7037;4.600000
7037;9.900000
7037;11.700000
7037;4.300000
7037;9.500000
7037;9.500000
7037;3.100000
7037;-1.200000
7037;6.000000
7037;11.400000
