ID OMM station;Date;Pression station
7015;2020-01-04T04:00:00+01:00;102640
7015;2020-01-05T04:00:00+01:00;103020
7015;2020-01-06T04:00:00+01:00;102440
7015;2020-01-07T04:00:00+01:00;102000
7015;2020-01-08T04:00:00+01:00;101710
7015;2020-01-09T04:00:00+01:00;101120
7015;2020-01-10T04:00:00+01:00;100550
7015;2020-01-11T04:00:00+01:00;102650
7015;2020-01-12T04:00:00+01:00;101820
7015;2020-01-13T04:00:00+01:00;101590
7015;2020-01-14T04:00:00+01:00;99720
7015;2020-01-15T04:00:00+01:00;100120
7015;2020-01-01T07:00:00+01:00;102530
7015;2020-01-02T07:00:00+01:00;102080
7015;2020-01-03T07:00:00+01:00;101170
7015;2020-01-04T07:00:00+01:00;102720
7015;2020-01-05T07:00:00+01:00;102990
7015;2020-01-06T07:00:00+01:00;102310
7015;2020-01-07T07:00:00+01:00;102060
7015;2020-01-08T07:00:00+01:00;101690
7015;2020-01-09T07:00:00+01:00;100900
7015;2020-01-10T07:00:00+01:00;100870
7015;2020-01-11T07:00:00+01:00;102590
7015;2020-01-12T07:00:00+01:00;101640
7015;2020-01-13T07:00:00+01:00;101420
7015;2020-01-14T07:00:00+01:00;99800
7015;2020-01-15T07:00:00+01:00;100130
7015;2020-01-01T10:00:00+01:00;102570
7015;2020-01-02T10:00:00+01:00;102070
7015;2020-01-03T10:00:00+01:00;101240
7015;2020-01-04T10:00:00+01:00;102740
7015;2020-01-05T10:00:00+01:00;103020
7015;2020-01-06T10:00:00+01:00;102120
7015;2020-01-07T10:00:00+01:00;102220
7015;2020-01-08T10:00:00+01:00;101840
7015;2020-01-09T10:00:00+01:00;100710
7015;2020-01-10T10:00:00+01:00;101370
7015;2020-01-11T10:00:00+01:00;102570
7015;2020-01-12T10:00:00+01:00;101540
7015;2020-01-13T10:00:00+01:00;101290
7015;2020-01-14T10:00:00+01:00;99970
7015;2020-01-15T10:00:00+01:00;100210
7015;2020-01-01T13:00:00+01:00;102550
7015;2020-01-02T13:00:00+01:00;101930
7015;2020-01-03T13:00:00+01:00;101330
7015;2020-01-04T13:00:00+01:00;102730
7015;2020-01-05T13:00:00+01:00;102950
7015;2020-01-06T13:00:00+01:00;101770
7015;2020-01-07T13:00:00+01:00;102180
7015;2020-01-08T13:00:00+01:00;101850
7015;2020-01-09T13:00:00+01:00;100510
7015;2020-01-10T13:00:00+01:00;101800
7015;2020-01-11T13:00:00+01:00;102440
7015;2020-01-12T13:00:00+01:00;101550
7015;2020-01-13T13:00:00+01:00;100970
7015;2020-01-14T13:00:00+01:00;99890
7015;2020-01-15T13:00:00+01:00;100400
7015;2020-01-01T16:00:00+01:00;102470
7015;2020-01-02T16:00:00+01:00;101700
7015;2020-01-03T16:00:00+01:00;101620
7015;2020-01-04T16:00:00+01:00;102790
7015;2020-01-05T16:00:00+01:00;102870
7015;2020-01-06T16:00:00+01:00;101560
7015;2020-01-07T16:00:00+01:00;102010
7015;2020-01-08T16:00:00+01:00;101840
7015;2020-01-09T16:00:00+01:00;100370
7015;2020-01-10T16:00:00+01:00;102100
7015;2020-01-11T16:00:00+01:00;102310
7015;2020-01-12T16:00:00+01:00;101550
7015;2020-01-13T16:00:00+01:00;100600
7015;2020-01-14T16:00:00+01:00;99820
7015;2020-01-15T16:00:00+01:00;100690
7015;2020-01-01T19:00:00+01:00;102480
7015;2020-01-02T19:00:00+01:00;101610
7015;2020-01-03T19:00:00+01:00;102120
7015;2020-01-04T19:00:00+01:00;102910
7015;2020-01-05T19:00:00+01:00;102830
7015;2020-01-06T19:00:00+01:00;101640
7015;2020-01-07T19:00:00+01:00;101980
7015;2020-01-08T19:00:00+01:00;101860
7015;2020-01-09T19:00:00+01:00;100270
7015;2020-01-10T19:00:00+01:00;102410
7015;2020-01-11T19:00:00+01:00;102270
7015;2020-01-12T19:00:00+01:00;101710
7015;2020-01-13T19:00:00+01:00;100300
7015;2020-01-14T19:00:00+01:00;99930
7015;2020-01-15T19:00:00+01:00;101210
7015;2020-01-01T22:00:00+01:00;102420
7015;2020-01-02T22:00:00+01:00;101530
7015;2020-01-03T22:00:00+01:00;102440
7015;2020-01-04T22:00:00+01:00;102980
7015;2020-01-05T22:00:00+01:00;102720
7015;2020-01-06T22:00:00+01:00;101630
7015;2020-01-07T22:00:00+01:00;101890
7015;2020-01-08T22:00:00+01:00;101690
7015;2020-01-09T22:00:00+01:00;100270
7015;2020-01-10T22:00:00+01:00;102590
7015;2020-01-11T22:00:00+01:00;102140
7015;2020-01-12T22:00:00+01:00;101760
7015;2020-01-13T22:00:00+01:00;100040
7015;2020-01-14T22:00:00+01:00;100070
7015;2020-01-15T22:00:00+01:00;101510
7020;2020-01-01T01:00:00+01:00;102760
7020;2020-01-02T01:00:00+01:00;102530
7020;2020-01-03T01:00:00+01:00;101550
7020;2020-01-04T01:00:00+01:00;103390
7020;2020-01-05T01:00:00+01:00;103590
7020;2020-01-06T01:00:00+01:00;102900
7020;2020-01-07T01:00:00+01:00;102430
7020;2020-01-08T01:00:00+01:00;102180
7020;2020-01-09T01:00:00+01:00;101450
7020;2020-01-10T01:00:00+01:00;100960
7020;2020-01-11T01:00:00+01:00;103010
7020;2020-01-12T01:00:00+01:00;102110
7020;2020-01-13T01:00:00+01:00;102070
7020;2020-01-14T01:00:00+01:00;99930
7020;2020-01-15T01:00:00+01:00;99920
7020;2020-01-01T04:00:00+01:00;102700
7020;2020-01-02T04:00:00+01:00;102410
7020;2020-01-03T04:00:00+01:00;101600
7020;2020-01-04T04:00:00+01:00;103460
7020;2020-01-05T04:00:00+01:00;103600
7020;2020-01-06T04:00:00+01:00;102680
7020;2020-01-07T04:00:00+01:00;102500
7020;2020-01-08T04:00:00+01:00;102180
7020;2020-01-09T04:00:00+01:00;101240
7020;2020-01-10T04:00:00+01:00;101530
7020;2020-01-11T04:00:00+01:00;102890
7020;2020-01-12T04:00:00+01:00;101960
7020;2020-01-13T04:00:00+01:00;101810
7020;2020-01-14T04:00:00+01:00;99920
7020;2020-01-15T04:00:00+01:00;99900
7020;2020-01-01T07:00:00+01:00;102690
7020;2020-01-02T07:00:00+01:00;102280
