ID OMM station;Coordonnees;Altitude
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
7591;44.565666,6.502333;871
