ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
7591;2020-01-14T01:00:00+01:00;0;40;2.200000;65;92110;0;0;44.565666,6.502333;-1.200000;0;0;871;0
7591;2020-01-13T04:00:00+01:00;0;30;1.600000;72;92280;0;0;44.565666,6.502333;-2.900000;0;0;871;0
7591;2020-01-12T19:00:00+01:00;0;40;2.200000;45;92450;0;0;44.565666,6.502333;2.400000;0;0;871;0
7591;2020-01-02T19:00:00+01:00;0;360;1.400000;73;92870;0;0;44.565666,6.502333;1.900000;0;0;871;0
7591;2020-01-11T04:00:00+01:00;0;30;3.300000;69;92560;0;0;44.565666,6.502333;-0.800000;0;0;871;0
7591;2020-01-06T07:00:00+01:00;0;50;2.700000;71;92830;0;0;44.565666,6.502333;-0.500000;0;0;871;0
7591;2020-01-04T04:00:00+01:00;0;240;1.000000;72;92390;0;0;44.565666,6.502333;-1.000000;0;0;871;0
7591;2020-01-02T07:00:00+01:00;0;40;2.000000;60;92870;0;0;44.565666,6.502333;1.000000;0;0;871;0
7591;2020-01-02T16:00:00+01:00;0;170;1.200000;56;92760;0;0;44.565666,6.502333;6.800000;0;0;871;0
7591;2020-01-03T10:00:00+01:00;0;30;4.700000;49;92730;0;0;44.565666,6.502333;4.100000;0;0;871;0
7591;2020-01-14T04:00:00+01:00;0;50;3.000000;70;92140;0;0;44.565666,6.502333;-2.500000;0;0;871;0
7591;2020-01-05T19:00:00+01:00;0;70;0.500000;67;92730;0;0;44.565666,6.502333;2.300000;0;0;871;0
7591;2020-01-15T13:00:00+01:00;0;60;0.900000;44;92460;0;0;44.565666,6.502333;7.900000;0;0;871;0
7591;2020-01-01T04:00:00+01:00;0;60;2.700000;64;92770;0;0;44.565666,6.502333;1.900000;0;0;871;0
7591;2020-01-07T22:00:00+01:00;0;40;1.300000;71;92480;0;0;44.565666,6.502333;-0.200000;0;0;871;0
7591;2020-01-06T13:00:00+01:00;0;60;2.400000;38;92710;0;0;44.565666,6.502333;9.100000;0;0;871;0
7591;2020-01-04T19:00:00+01:00;0;50;1.000000;69;92490;0;0;44.565666,6.502333;2.400000;0;0;871;0
7591;2020-01-03T07:00:00+01:00;0;30;4.700000;53;92740;0;0;44.565666,6.502333;2.100000;0;0;871;0
7591;2020-01-03T04:00:00+01:00;0;50;3.300000;57;92750;0;0;44.565666,6.502333;1.500000;0;0;871;0
7591;2020-01-02T22:00:00+01:00;0;30;3.500000;62;92860;0;0;44.565666,6.502333;2.300000;0;0;871;0
7591;2020-01-03T01:00:00+01:00;0;40;3.600000;57;92830;0;0;44.565666,6.502333;2.100000;0;0;871;0
7591;2020-01-05T01:00:00+01:00;0;10;1.300000;84;92510;0;0;44.565666,6.502333;-1.400000;0;0;871;0
7591;2020-01-03T22:00:00+01:00;0;30;1.300000;73;92540;0;0;44.565666,6.502333;0.800000;0;0;871;0
7591;2020-01-15T07:00:00+01:00;0;40;2.800000;74;92460;0;0;44.565666,6.502333;-2.700000;0;0;871;0
7591;2020-01-14T16:00:00+01:00;0;190;1.800000;46;92170;0;0;44.565666,6.502333;8.300000;0;0;871;0
7591;2020-01-14T07:00:00+01:00;0;30;0.600000;74;92250;0;0;44.565666,6.502333;-4.000000;0;0;871;0
7591;2020-01-12T01:00:00+01:00;0;20;3.800000;48;92670;0;0;44.565666,6.502333;-0.200000;0;0;871;0
7591;2020-01-07T19:00:00+01:00;0;10;1.500000;66;92320;0;0;44.565666,6.502333;2.000000;0;0;871;0
7591;2020-01-09T01:00:00+01:00;0;360;1.000000;67;92860;0;0;44.565666,6.502333;-0.200000;0;0;871;0
7591;2020-01-11T22:00:00+01:00;0;20;2.900000;43;92640;0;0;44.565666,6.502333;1.600000;0;0;871;0
7591;2020-01-10T10:00:00+01:00;0;40;1.900000;62;92310;0;0;44.565666,6.502333;1.500000;0;0;871;0
7591;2020-01-03T19:00:00+01:00;0;0;0.000000;68;92510;0;0;44.565666,6.502333;2.400000;0;0;871;0
7591;2020-01-05T10:00:00+01:00;0;0;0.000000;84;92600;0;0;44.565666,6.502333;1.000000;0;0;871;0
7591;2020-01-14T13:00:00+01:00;0;80;1.200000;38;92230;0;0;44.565666,6.502333;6.400000;0;0;871;0
7591;2020-01-07T01:00:00+01:00;0;180;1.100000;69;92650;0;0;44.565666,6.502333;-0.300000;0;0;871;0
7591;2020-01-06T01:00:00+01:00;0;50;3.000000;69;92840;0;0;44.565666,6.502333;0.900000;0;0;871;0
7591;2020-01-04T01:00:00+01:00;0;20;0.600000;78;92450;0;0;44.565666,6.502333;-1.200000;0;0;871;0
7591;2020-01-09T07:00:00+01:00;0;0;0.000000;73;92660;0;0;44.565666,6.502333;-1.700000;0;0;871;0
7591;2020-01-09T04:00:00+01:00;0;40;3.000000;69;92770;0;0;44.565666,6.502333;-0.600000;0;0;871;0
7591;2020-01-08T19:00:00+01:00;0;350;1.700000;49;92830;0;0;44.565666,6.502333;3.800000;0;0;871;0
